Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,10,1,2.0,838.0,0.0023837902264600714,0.004048582995951417,0.0,0.0013531633677595697,0.0015278409918591874,0.58879618593563765
1,10,2,3.0,838.0,0.003575685339690107,0.017094017094017096,0.0,0.0056575939214730132,0.0033591684463467318,0.20917759237187125
1,10,3,1.0,838.0,0.0011918951132300357,0.090909090909090912,0.0,0.0052279880030699525,0.0092092521910605938,0.013110846245530392
1,10,4,5.0,838.0,0.0059594755661501785,0.058823529411764705,0.0,0.0071772877832642044,0.0062889833282712077,0.10131108462455303
1,10,5,2.0,838.0,0.0023837902264600714,0.0072202166064981952,0.0,0.0026856207797187892,0.0021197512647612923,0.33015494636471987
