Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,10,1,3.0,1517.0,0.001976284584980237,0.14285714285714285,0.0,0.0069324069545131607,0.009572054301717892,0.01383399209486166
1,10,2,4.0,1517.0,0.002635046113306983,0.0082644628099173556,0.0,0.0019165819200383956,0.0014663346057974603,0.31884057971014496
1,10,3,4.0,1517.0,0.002635046113306983,0.006993006993006993,0.0,0.0037453485836366094,0.0015944390896801997,0.37681159420289856
1,10,4,2.0,1517.0,0.0013175230566534915,0.0025839793281653748,0.0,0.0012101415460772911,0.00076358239557240703,0.50988142292490124
1,10,5,5.0,1517.0,0.0032938076416337285,0.029850746268656716,0.0,0.0066076005946172573,0.0054184546260824641,0.1103425559947299
