Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,10,1,4.0,1201.0,0.0033277870216306157,0.16666666666666666,0.0,0.012867332734091578,0.019437591439832789,0.019966722129783697
1,10,2,4.0,1201.0,0.0033277870216306157,0.058823529411764705,0.0,0.0089312464800878257,0.0077403378852498057,0.056572379367720471
1,10,3,5.0,1201.0,0.004159733777038269,0.125,0.0,0.0096875795842918059,0.010533095504949859,0.033277870216306155
1,10,4,4.0,1201.0,0.0033277870216306157,0.090909090909090912,0.0,0.0084557460678684904,0.007856759197885756,0.036605657237936774
1,10,5,4.0,1201.0,0.0033277870216306157,0.083333333333333329,0.0,0.0076079476370390954,0.0070286467748830383,0.039933444259567394
