Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,10,1,3.0,799.0,0.00375,0.013986013986013986,0.0,0.005455112056295547,0.0029562992675532741,0.268125
1,10,2,3.0,799.0,0.00375,0.017543859649122806,0.0,0.0069373387535200436,0.0033864365704506486,0.21375
1,10,3,4.0,799.0,0.005,0.033333333333333333,0.0,0.008113118413009341,0.0054780393031513257,0.14999999999999999
1,10,4,5.0,799.0,0.00625,0.1111111111111111,0.0,0.010344909944350882,0.0095843974036519744,0.056250000000000008
1,10,5,2.0,799.0,0.0025,0.043478260869565216,0.0,0.0056079750597639345,0.00543645937405804,0.057500000000000002
