Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,12,4,4,1805,0.002214839,0.052631579,0,0.004958582,0.004834639,0.042081949
,,,,,,,,,,
1,12,5,4,1805,0.002214839,0.003164557,0,0.00135652,0.001113415,0.699889258
,,,,,,,,,,
1,13,1,5,1294,0.003861004,0.00625,0,0.003189563,0.001739963,0.617760618
,,,,,,,,,,
1,13,2,4,1294,0.003088803,0.006651885,0,0.002725822,0.002006962,0.464350064
,,,,,,,,,,
1,13,3,4,1294,0.003088803,0.003666361,0,0.001048932,0.001193436,0.842471042
,,,,,,,,,,
1,13,4,3,1294,0.002316602,0.011406844,0,0.003816408,0.002672525,0.203088803
,,,,,,,,,,
1,13,5,4,1294,0.003088803,0.090909091,0,0.00790009,0.007306452,0.033976834
,,,,,,,,,,
1,14,1,4,1201,0.003327787,0.166666667,0,0.012867333,0.019437591,0.019966722
,,,,,,,,,,
1,14,2,4,1201,0.003327787,0.058823529,0,0.008931246,0.007740338,0.056572379
,,,,,,,,,,
1,14,3,5,1201,0.004159734,0.125,0,0.00968758,0.010533096,0.03327787
,,,,,,,,,,
1,14,4,4,1201,0.003327787,0.090909091,0,0.008455746,0.007856759,0.036605657
,,,,,,,,,,
1,14,5,4,1201,0.003327787,0.083333333,0,0.007607948,0.007028647,0.039933444
,,,,,,,,,,
1,15,1,3,614,0.004878049,0.013888889,0,0.00593839,0.002698783,0.351219512
,,,,,,,,,,
1,15,2,2,614,0.003252033,0.052631579,0,0.006465546,0.006947554,0.061788618
,,,,,,,,,,
1,15,3,3,614,0.004878049,0.013274336,0,0.005154734,0.004062996,0.367479675
,,,,,,,,,,
1,15,4,5,614,0.008130081,0.2,0,0.009950558,0.016623092,0.040650407
,,,,,,,,,,
1,15,5,4,614,0.006504065,0.090909091,0,0.010307765,0.009312712,0.071544715
,,,,,,,,,,
2,1,1,5,413,0.012077295,0.073170732,0,0.02428531,0.013288967,0.165056361
,,,,,,,,,,
2,1,2,5,413,0.012077295,0.02020202,0,0.010871565,0.006768491,0.597826087
,,,,,,,,,,
2,1,3,5,413,0.012077295,0.025641026,0,0.013661459,0.00504317,0.471014493
,,,,,,,,,,
2,1,4,5,413,0.012077295,0.031007752,0,0.018297475,0.007716204,0.389492754
,,,,,,,,,,
2,1,5,5,413,0.012077295,0.2,0,0.025287319,0.021189133,0.060386473
,,,,,,,,,,
2,2,1,5,334,0.014925373,0.045454545,0,0.018745779,0.007547207,0.328358209
,,,,,,,,,,
2,2,2,5,334,0.014925373,0.017123288,0,0.009411526,0.005212668,0.871641791
,,,,,,,,,,
2,2,3,5,334,0.014925373,0.066666667,0,0.021736282,0.011327855,0.223880597
,,,,,,,,,,
2,2,4,5,334,0.014925373,0.015625,0,0.00802096,0.004966167,0.955223881
,,,,,,,,,,
2,2,5,5,334,0.014925373,0.042553191,0,0.021909261,0.008336779,0.350746269
,,,,,,,,,,
2,3,1,5,465,0.010729614,0.023809524,0,0.013506312,0.005735186,0.450643777
,,,,,,,,,,
2,3,2,5,465,0.010729614,0.03030303,0,0.013193864,0.004853337,0.354077253
,,,,,,,,,,
2,3,3,5,465,0.010729614,0.020833333,0,0.010967245,0.005878335,0.515021459
,,,,,,,,,,
2,3,4,5,465,0.010729614,0.055555556,0,0.015113619,0.008440797,0.193133047
,,,,,,,,,,
2,3,5,5,465,0.010729614,0.045454545,0,0.016927791,0.008650406,0.236051502
,,,,,,,,,,
2,4,1,5,395,0.012626263,0.066666667,0,0.019240425,0.008206285,0.189393939
,,,,,,,,,,
2,4,2,5,395,0.012626263,0.04,0,0.020563906,0.009209959,0.315656566
,,,,,,,,,,
2,4,3,5,395,0.012626263,0.041322314,0,0.021592643,0.00917057,0.305555556
,,,,,,,,,,
2,4,4,5,395,0.012626263,0.042857143,0,0.01899594,0.008517796,0.294612795
,,,,,,,,,,
2,4,5,5,395,0.012626263,0.012626263,0,0.005604876,0.004929236,1
,,,,,,,,,,
2,5,1,5,504,0.00990099,0.03030303,0,0.014770105,0.005763453,0.326732673
,,,,,,,,,,
2,5,2,5,504,0.00990099,0.024390244,0,0.012550067,0.006064458,0.405940594
,,,,,,,,,,
2,5,3,5,504,0.00990099,0.055555556,0,0.018525823,0.009988658,0.178217822
,,,,,,,,,,
2,5,4,5,504,0.00990099,0.142857143,0,0.017554592,0.014582312,0.069306931
,,,,,,,,,,
2,5,5,5,504,0.00990099,0.024691358,0,0.011987887,0.005055587,0.400990099
,,,,,,,,,,
2,6,1,5,2052,0.00243546,0.031446541,0,0.007487059,0.006596646,0.077447638
,,,,,,,,,,
2,6,2,5,2052,0.00243546,0.045454545,0,0.007220479,0.005762915,0.053580127
,,,,,,,,,,
2,6,3,5,2052,0.00243546,0.020408163,0,0.005880107,0.0036397,0.119337555
,,,,,,,,,,
2,6,4,5,2052,0.00243546,0.018115942,0,0.006015788,0.004111446,0.134437409
,,,,,,,,,,
2,6,5,5,2052,0.00243546,0.01875,0,0.005346708,0.003972387,0.129891216
,,,,,,,,,,
2,7,1,5,418,0.011933174,0.035294118,0,0.01844237,0.008198258,0.338106603
,,,,,,,,,,
2,7,2,5,418,0.011933174,0.01459854,0,0.006347246,0.00580374,0.817422434
,,,,,,,,,,
2,7,3,5,418,0.011933174,0.025210084,0,0.013300633,0.005964742,0.473349244
,,,,,,,,,,
2,7,4,5,418,0.011933174,0.028571429,0,0.014622016,0.005675194,0.417661098
,,,,,,,,,,
2,7,5,5,418,0.011933174,0.142857143,0,0.016055643,0.014705825,0.08353222
,,,,,,,,,,
2,8,1,5,414,0.012048193,0.023255814,0,0.01151116,0.00454567,0.518072289
,,,,,,,,,,
2,8,2,5,414,0.012048193,0.044444444,0,0.017692329,0.009210064,0.271084337
,,,,,,,,,,
2,8,3,5,414,0.012048193,0.01843318,0,0.008342114,0.006655446,0.653614458
,,,,,,,,,,
2,8,4,5,414,0.012048193,0.038461538,0,0.012752643,0.005527,0.313253012
,,,,,,,,,,
2,8,5,5,414,0.012048193,0.029411765,0,0.012147248,0.007280718,0.409638554
,,,,,,,,,,
2,9,1,5,987,0.005060729,0.023622047,0,0.010314275,0.005982115,0.214237517
,,,,,,,,,,
2,9,2,5,987,0.005060729,0.019230769,0,0.008759866,0.004010219,0.263157895
,,,,,,,,,,
2,9,3,5,987,0.005060729,0.078947368,0,0.01489697,0.012943853,0.064102564
,,,,,,,,,,
2,9,4,5,987,0.005060729,0.058823529,0,0.007557677,0.007114624,0.086032389
,,,,,,,,,,
2,9,5,5,987,0.005060729,0.043478261,0,0.008598418,0.004946293,0.116396761
,,,,,,,,,,
2,10,1,5,601,0.008305648,0.04,0,0.016945949,0.008845185,0.207641196
,,,,,,,,,,
2,10,2,5,601,0.008305648,0.142857143,0,0.023044093,0.01814322,0.058139535
,,,,,,,,,,
2,10,3,5,601,0.008305648,0.014492754,0,0.0068469,0.003010262,0.573089701
,,,,,,,,,,
2,10,4,5,601,0.008305648,0.029411765,0,0.011305283,0.004098356,0.282392027
,,,,,,,,,,
2,10,5,5,601,0.008305648,0.013157895,0,0.006141946,0.003331167,0.631229236
,,,,,,,,,,
2,11,1,5,345,0.014450867,0.05,0,0.02149699,0.012191215,0.289017341
,,,,,,,,,,
2,11,2,5,345,0.014450867,0.0625,0,0.02183902,0.011134264,0.231213873
,,,,,,,,,,
2,11,3,5,345,0.014450867,0.03,0,0.015491813,0.007222969,0.481695568
,,,,,,,,,,
2,11,4,5,345,0.014450867,0.019047619,0,0.012353723,0.006193994,0.75867052
,,,,,,,,,,
2,11,5,5,345,0.014450867,0.041666667,0,0.017332472,0.006493516,0.346820809
,,,,,,,,,,
2,12,1,5,457,0.010917031,0.032258065,0,0.017098645,0.006412286,0.338427948
,,,,,,,,,,
2,12,2,5,457,0.010917031,0.029411765,0,0.014881048,0.005533095,0.371179039
,,,,,,,,,,
2,12,3,5,457,0.010917031,0.090909091,0,0.013893452,0.01015014,0.120087336
,,,,,,,,,,
2,12,4,5,457,0.010917031,0.019230769,0,0.00524689,0.003835991,0.56768559
,,,,,,,,,,
2,12,5,5,457,0.010917031,0.034482759,0,0.016110652,0.006448248,0.316593886
,,,,,,,,,,
2,13,1,5,362,0.013774105,0.066666667,0,0.021082215,0.010459942,0.20661157
,,,,,,,,,,
2,13,2,5,362,0.013774105,0.023255814,0,0.013068334,0.006077575,0.592286501
,,,,,,,,,,
2,13,3,5,362,0.013774105,0.027027027,0,0.014798298,0.005835055,0.509641873
,,,,,,,,,,
2,13,4,5,362,0.013774105,0.047619048,0,0.021081885,0.009443865,0.289256198
,,,,,,,,,,
2,13,5,5,362,0.013774105,0.046153846,0,0.023528331,0.010568614,0.298438935
,,,,,,,,,,
2,14,1,5,374,0.013333333,0.03030303,0,0.017375866,0.007324301,0.44
,,,,,,,,,,
2,14,2,5,374,0.013333333,0.02247191,0,0.011906821,0.007642969,0.593333333
,,,,,,,,,,
2,14,3,5,374,0.013333333,0.043478261,0,0.017707004,0.007318182,0.306666667
,,,,,,,,,,
2,14,4,5,374,0.013333333,0.028571429,0,0.014509222,0.006722589,0.466666667
,,,,,,,,,,
2,14,5,5,374,0.013333333,0.032608696,0,0.017896435,0.007125822,0.408888889
,,,,,,,,,,
2,15,1,5,474,0.010526316,0.028571429,0,0.012707293,0.005705678,0.368421053
,,,,,,,,,,
2,15,2,5,474,0.010526316,0.03125,0,0.01635055,0.006439173,0.336842105
,,,,,,,,,,
2,15,3,5,474,0.010526316,0.06122449,0,0.022488012,0.012885375,0.171929825
,,,,,,,,,,
2,15,4,5,474,0.010526316,0.0625,0,0.017091518,0.008993329,0.168421053
,,,,,,,,,,
2,15,5,5,474,0.010526316,0.03125,0,0.012821088,0.005986657,0.336842105
,,,,,,,,,,
3,1,1,2,100,0.01980198,0.038461538,0,0.015183753,0.010317666,0.514851485
,,,,,,,,,,
