Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,10,1,1.0,76.0,0.012987012987012988,0.016949152542372881,0.0,0.0037006045333447916,0.0064377321933746868,0.76623376623376627
1,10,2,2.0,76.0,0.025974025974025976,0.058823529411764705,0.0,0.02853241044303385,0.018076134680647223,0.44155844155844159
1,10,3,5.0,76.0,0.06493506493506493,0.064935064935064929,0.0,0.031418019863951263,0.022300528873982251,1.0
1,10,4,3.0,76.0,0.03896103896103896,0.053571428571428568,0.0,0.021763054822014238,0.020346159339260244,0.72727272727272729
1,10,5,1.0,76.0,0.012987012987012988,0.055555555555555552,0.0,0.019578263363633483,0.014092196831731975,0.23376623376623379
