Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,10,1,2.0,124.0,0.016,0.021276595744680851,0.0,0.0074954777124226248,0.0081733407556137637,0.752
1,10,2,2.0,124.0,0.016,0.14285714285714285,0.0,0.031050281905988596,0.0220652538442614,0.112
1,10,3,4.0,124.0,0.032,0.047058823529411764,0.0,0.02611960320766394,0.014432712877236768,0.68000000000000005
1,10,4,5.0,124.0,0.04,0.047058823529411764,0.0,0.030205898007467657,0.015580756399650028,0.84999999999999998
1,10,5,3.0,124.0,0.024,0.052631578947368418,0.0,0.020100494234076935,0.010900331131595636,0.45600000000000002
