Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,10,1,2.0,189.0,0.010526315789473684,0.047619047619047616,0.0,0.01426171113260661,0.0087396291980571354,0.22105263157894739
1,10,2,2.0,189.0,0.010526315789473684,0.022727272727272728,0.0,0.011870454274832491,0.0069983212079393368,0.4631578947368421
1,10,3,5.0,189.0,0.02631578947368421,0.20000000000000001,0.0,0.033397948424603488,0.023266106426421577,0.13157894736842105
1,10,4,4.0,189.0,0.021052631578947368,0.047619047619047616,0.0,0.027013294673212875,0.012224075984384339,0.44210526315789478
1,10,5,3.0,189.0,0.015789473684210527,0.037037037037037035,0.0,0.014180737029027543,0.0075609840424748108,0.42631578947368426
