Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness,,,
3,11,4,5,204,0.024390244,0.036144578,0,0.022113201,0.009812123,0.674796748,,,
,,,,,,,,,,,,,
3,11,5,4,204,0.019512195,0.055555556,0,0.021606466,0.011503805,0.351219512,,,
,,,,,,,,,,,,,
3,12,1,4,437,0.00913242,0.0625,0,0.020899666,0.012487473,0.146118721,,,
,,,,,,,,,,,,,
3,12,2,5,437,0.011415525,0.038461538,0,0.011671335,0.006411503,0.296803653,,,
,,,,,,,,,,,,,
3,12,3,2,437,0.00456621,0.028985507,0,0.008599125,0.006350873,0.157534247,,,
,,,,,,,,,,,,,
3,12,4,4,437,0.00913242,0.029411765,0,0.013360966,0.007650829,0.310502283,,,
,,,,,,,,,,,,,
3,12,5,4,437,0.00913242,0.028571429,0,0.009982461,0.006289682,0.319634703,,,
,,,,,,,,,,,,,
3,13,1,5,223,0.022321429,0.046511628,0,0.023954109,0.011285277,0.479910714,,,
,,,,,,,,,,,,,
3,13,2,4,223,0.017857143,0.041666667,0,0.01942513,0.008103138,0.428571429,,,
,,,,,,,,,,,,,
3,13,3,4,223,0.017857143,0.044117647,0,0.021829805,0.010813869,0.404761905,,,
,,,,,,,,,,,,,
3,13,4,3,223,0.013392857,0.045454545,0,0.022128233,0.010264899,0.294642857,,,
,,,,,,,,,,,,,
3,13,5,2,223,0.008928571,0.019047619,0,0.008028245,0.006331577,0.46875,,,
,,,,,,,,,,,,,
3,14,1,2,124,0.016,0.031746032,0,0.01249793,0.011161965,0.504,,,
,,,,,,,,,,,,,
3,14,2,4,124,0.032,0.071428571,0,0.035590052,0.014954745,0.448,,,
,,,,,,,,,,,,,
3,14,3,3,124,0.024,0.03030303,0,0.017220647,0.010500919,0.792,,,
,,,,,,,,,,,,,
3,14,4,5,124,0.04,0.090909091,0,0.032475965,0.01542605,0.44,,,
,,,,,,,,,,,,,
3,14,5,4,124,0.032,0.095238095,0,0.046398517,0.019937386,0.336,,,
,,,,,,,,,,,,,
3,15,1,5,169,0.029411765,0.038461538,0,0.024566036,0.011879279,0.764705882,,,
,,,,,,,,,,,,,
3,15,2,3,169,0.017647059,0.041666667,0,0.013367426,0.008784646,0.423529412,,,
,,,,,,,,,,,,,
3,15,3,4,169,0.023529412,0.058823529,0,0.024818001,0.012683733,0.4,,,
,,,,,,,,,,,,,
3,15,4,4,169,0.023529412,0.026315789,0,0.015148857,0.008974576,0.894117647,,,
,,,,,,,,,,,,,
3,15,5,3,169,0.017647059,0.034883721,0,0.017755237,0.010790103,0.505882353,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,Col I Avg.,0.021176579
,,,,,,,,,,,,Col K Avg.,0.499283999
