Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,10,1,2.0,124.0,0.016,0.031746031746031744,0.0,0.012497930441538402,0.011161965413954235,0.504
1,10,2,4.0,124.0,0.032,0.071428571428571425,0.0,0.035590052088265933,0.014954745373079085,0.44800000000000001
1,10,3,3.0,124.0,0.024,0.030303030303030304,0.0,0.017220647421987669,0.010500918941127917,0.79200000000000004
1,10,4,5.0,124.0,0.04,0.090909090909090912,0.0,0.032475965184169314,0.01542604974592892,0.44
1,10,5,4.0,124.0,0.032,0.095238095238095233,0.0,0.046398517310607262,0.019937385528761179,0.33600000000000002
