Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,10,1,5.0,223.0,0.022321428571428572,0.046511627906976744,0.0,0.023954109451510011,0.01128527727806145,0.4799107142857143
1,10,2,4.0,223.0,0.017857142857142856,0.041666666666666664,0.0,0.019425129607149323,0.0081031375162207986,0.42857142857142855
1,10,3,4.0,223.0,0.017857142857142856,0.044117647058823532,0.0,0.021829804647989504,0.010813869030661543,0.40476190476190471
1,10,4,3.0,223.0,0.013392857142857142,0.045454545454545456,0.0,0.022128232854052608,0.010264899417563931,0.2946428571428571
1,10,5,2.0,223.0,0.008928571428571428,0.019047619047619049,0.0,0.0080282446944424119,0.0063315771970556224,0.46874999999999994
