Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,10,1,4.0,437.0,0.0091324200913242,0.0625,0.0,0.020899665633218881,0.012487472782475072,0.14611872146118721
1,10,2,5.0,437.0,0.01141552511415525,0.038461538461538464,0.0,0.011671335102491201,0.0064115034424786048,0.29680365296803651
1,10,3,2.0,437.0,0.0045662100456621,0.028985507246376812,0.0,0.0085991248924445398,0.0063508726908536386,0.15753424657534246
1,10,4,4.0,437.0,0.0091324200913242,0.029411764705882353,0.0,0.013360966301466668,0.0076508290045682629,0.31050228310502281
1,10,5,4.0,437.0,0.0091324200913242,0.028571428571428571,0.0,0.0099824609605576996,0.0062896823898389532,0.31963470319634701
