Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,10,1,4.0,1805.0,0.0022148394241417496,0.050000000000000003,0.0,0.0046918511112522196,0.0052420315161457566,0.044296788482834991
1,10,2,3.0,1805.0,0.0016611295681063123,0.052631578947368418,0.0,0.0038085182612621997,0.0044890164739252378,0.031561461794019939
1,10,3,5.0,1805.0,0.0027685492801771874,0.0072992700729927005,0.0,0.0023739375299907952,0.0011066282887564815,0.37929125138427466
1,10,4,4.0,1805.0,0.0022148394241417496,0.052631578947368418,0.0,0.0049585817415022026,0.0048346386206790685,0.042081949058693245
1,10,5,4.0,1805.0,0.0022148394241417496,0.0031645569620253164,0.0,0.0013565198289925008,0.001113415360649587,0.69988925802879287
