Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,10,1,3.0,1555.0,0.0019280205655526992,0.058823529411764705,0.0,0.0068408416194103358,0.0074751056271965023,0.032776349614395885
1,10,2,4.0,1555.0,0.002570694087403599,0.005235602094240838,0.0,0.002573050705404993,0.0012639051136918618,0.49100257069408731
1,10,3,5.0,1555.0,0.003213367609254499,0.0078125,0.0,0.003266264109648039,0.0016803809920062378,0.41131105398457585
1,10,4,2.0,1555.0,0.0012853470437017994,0.0013404825737265416,0.0,7.9027326600686167e-05,0.00028685520166147954,0.95886889460154234
1,10,5,3.0,1555.0,0.0019280205655526992,0.071428571428571425,0.0,0.0050797021426840748,0.0058193471876055378,0.026992287917737789
